time,G(i),H_sun,T2m,WS10m,Int
20180112:1510,180.39,16.73,8.76,1.66,0.0
20180112:1610,31.21,8.49,8.32,1.52,0.0
20180112:1710,0.0,0.0,7.33,1.31,0.0
20180112:1810,0.0,0.0,6.06,0.9,0.0
20180112:1910,0.0,0.0,5.12,0.83,0.0
20180112:2010,0.0,0.0,5.1,0.48,0.0
20180112:2110,0.0,0.0,4.63,0.28,0.0
20180112:2210,0.0,0.0,4.25,0.48,0.0
20180112:2310,0.0,0.0,3.82,0.62,0.0
20180113:0010,0.0,0.0,3.35,0.55,0.0
20180113:0110,0.0,0.0,2.79,0.83,0.0
20180113:0210,0.0,0.0,1.38,1.03,0.0
20180113:0310,0.0,0.0,0.25,1.17,0.0
20180113:0410,0.0,0.0,-0.4,1.1,0.0
20180113:0510,0.0,0.0,-0.64,1.03,0.0
20180113:0610,0.0,0.0,-0.49,1.03,0.0
20180113:0710,0.0,0.0,1.0,0.9,0.0
20180113:0810,87.74,4.68,1.31,0.83,0.0
20180113:0910,526.07,13.56,2.27,0.41,0.0
20180113:1010,568.46,20.8,3.58,0.41,0.0
20180113:1110,237.47,25.82,4.9,1.17,0.0
20180113:1210,149.12,28.03,5.29,1.79,0.0
20180113:1310,106.49,27.14,5.0,2.41,0.0
20180113:1410,49.57,23.28,4.22,2.14,0.0
20180113:1510,67.02,16.92,4.07,2.0,0.0
20180113:1610,10.1,8.68,4.14,1.66,0.0
20180113:1710,0.0,0.0,4.07,1.38,0.0
20180113:1810,0.0,0.0,4.0,1.17,0.0
20180113:1910,0.0,0.0,3.36,1.72,0.0
20180113:2010,0.0,0.0,2.95,2.14,0.0
20180113:2110,0.0,0.0,2.71,2.28,0.0
20180113:2210,0.0,0.0,2.29,2.14,0.0
20180113:2310,0.0,0.0,1.86,2.21,0.0
20180114:0010,0.0,0.0,1.77,2.28,0.0
20180114:0110,0.0,0.0,1.45,2.0,0.0
20180114:0210,0.0,0.0,1.6,1.66,0.0
20180114:0310,0.0,0.0,1.64,1.52,0.0
20180114:0410,0.0,0.0,1.42,1.52,0.0
20180114:0510,0.0,0.0,1.42,1.45,0.0
20180114:0610,0.0,0.0,1.38,1.31,0.0
20180114:0710,0.0,0.0,0.82,0.62,0.0
20180114:0810,86.73,4.75,0.81,0.34,0.0
20180114:0910,404.44,13.65,1.89,0.69,0.0
20180114:1010,644.7,20.92,3.09,0.69,0.0
20180114:1110,652.97,25.96,4.56,0.34,0.0
20180114:1210,239.23,28.2,5.69,0.55,0.0
20180114:1310,347.6,27.33,6.19,0.76,0.0
20180114:1410,758.78,23.47,6.27,0.83,0.0
20180114:1510,614.95,17.11,6.66,1.31,0.0
20180114:1610,341.45,8.87,6.48,1.45,0.0
